Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2015-02-08,223.412003,227.692993,229.438004,221.076996
2015-02-09,220.110001,223.389008,223.977005,217.018997
2015-02-10,219.839005,220.281998,221.807007,215.332001
2015-02-11,219.184998,219.731995,223.406006,218.074005
2015-02-12,221.764008,219.207993,222.199005,217.613998
2015-02-13,235.427002,221.968994,240.259003,221.261993
2015-02-14,257.321014,235.528,259.808014,235.528
2015-02-15,234.824997,257.506989,265.610992,227.684006
2015-02-16,233.843002,234.824997,239.520996,229.022003
2015-02-17,243.610001,233.421997,245.774994,232.313995
2015-02-18,236.326004,243.779999,244.251007,232.339996
2015-02-19,240.283005,236.410004,242.671997,235.591995
2015-02-20,243.779007,240.251007,247.100998,239.298996
2015-02-21,244.533997,243.751999,255.320007,243.184006
2015-02-22,235.977005,244.544006,246.391998,233.850998
2015-02-23,238.891998,235.994995,240.108994,232.421005
2015-02-24,238.735001,238.998001,239.901001,236.401993
2015-02-25,237.470001,238.889999,239.339996,235.529999
2015-02-26,236.425995,237.337006,237.710007,234.257004
2015-02-27,253.828003,236.436005,256.653015,236.436005
2015-02-28,254.263,253.520004,254.692001,249.479004
2015-03-01,260.201996,254.283005,261.660004,245.932999
2015-03-02,275.670013,260.356995,276.300995,258.312988
2015-03-03,281.701996,275.04599,285.79599,268.161011
2015-03-04,273.09201,281.98999,284.225006,268.126007
2015-03-05,276.178009,272.739014,281.666992,264.769012
2015-03-06,272.722992,275.600006,277.608002,270.015015
2015-03-07,276.260986,272.294006,277.854004,270.132996
2015-03-08,274.354004,276.433014,277.858002,272.565002
