Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2014-05-06,418.61831,432.78748,434.35831,418.55791
2014-05-07,428.42593,418.61831,431.33331,418.01666
2014-05-08,442.57666,428.42593,446.35999,423.11181
2014-05-09,439.04,442.57666,445.01666,434.30833
2014-05-10,449.04333,439.04,451.24499,438.06666
2014-05-11,449.74166,449.04333,453.54333,446.21333
2014-05-12,434.27,449.74166,450.04166,430.33333
2014-05-13,437.0,434.27,440.21333,431.515
2014-05-14,438.88,437.0,439.51833,433.13333
2014-05-15,445.045,438.88,445.89666,438.88
2014-05-16,443.18,445.045,447.74499,441.73333
2014-05-17,445.60666,443.18,447.15166,442.29
2014-05-18,445.15666,445.60666,446.48,443.78166
2014-05-19,444.73833,445.15666,446.18166,442.35
2014-05-20,455.65333,444.73833,458.23333,442.05333
2014-05-21,489.86999,455.65333,494.21,450.16333
2014-05-22,490.18666,489.86999,494.46166,487.63
2014-05-23,522.31,490.18666,535.09,487.815
2014-05-24,512.30833,522.31,543.095,511.97333
2014-05-25,533.92999,512.30833,535.725,511.69833
2014-05-26,579.59333,533.92999,589.945,533.13
2014-05-27,581.51,579.59333,589.78166,575.84
2014-05-28,572.44833,581.51,591.24166,549.62
2014-05-29,562.4,572.44833,576.55666,560.415
2014-05-30,571.845,562.4,573.27,556.28166
2014-05-31,612.12666,571.845,622.50666,566.69666
2014-06-01,638.16333,612.12666,638.94666,610.82499
2014-06-02,634.98333,638.16333,676.60333,620.585
2014-06-03,660.24666,634.98333,667.19333,610.99333
2014-06-04,627.79833,660.24666,675.73833,617.78666
2014-06-05,642.89166,627.79833,650.76333,624.965
2014-06-06,652.52666,642.89166,664.97833,639.42833
2014-06-07,648.60166,652.52666,657.94166,635.85166
2014-06-08,652.59166,648.60166,656.84666,646.63166
2014-06-09,652.11,652.59166,655.015,649.41333
2014-06-10,644.085,652.11,653.34666,637.57833
2014-06-11,642.00666,644.085,657.97,640.465
2014-06-12,632.55,642.00666,646.385,624.16166
2014-06-13,585.48333,632.55,633.66166,562.59
2014-06-14,588.52333,585.48333,613.465,584.635
2014-06-15,570.28833,588.52333,590.76166,541.19333
2014-06-16,589.06666,570.28833,593.54833,551.31
2014-06-17,592.25666,589.06666,606.82166,585.685
2014-06-18,610.41333,592.25666,613.99166,590.18833
2014-06-19,601.88666,610.41333,612.85666,599.72333
2014-06-20,594.09333,601.88666,605.93833,590.16999
2014-06-21,582.04499,594.09333,595.21666,581.18833
2014-06-22,599.57,582.04499,603.205,581.68666
2014-06-23,592.405,599.57,602.82833,591.495
2014-06-24,584.64166,592.405,593.255,580.84
2014-06-25,575.905,584.64166,588.78,570.47166
2014-06-26,571.76666,575.905,576.03166,558.58333
2014-06-27,582.43166,571.76666,584.16333,565.91833
2014-06-28,597.66833,582.43166,600.72,576.24833
2014-06-29,598.73333,597.66833,604.33833,591.205
2014-06-30,597.51333,598.73333,600.54166,588.98
2014-07-01,647.12249,597.51333,647.12249,597.04499
2014-07-02,637.85625,647.12249,654.76874,627.77125
2014-07-03,642.65125,637.85625,653.65875,635.17999
2014-07-04,643.95124,642.65125,646.88375,635.26625
2014-07-05,628.41625,643.95124,644.18125,625.80125
2014-07-06,631.03,628.41625,635.89874,624.50125
2014-07-07,631.29875,631.03,632.575,627.43125
2014-07-08,621.24249,631.29875,633.0625,612.2625
2014-07-09,620.72,621.24249,621.74749,616.19625
2014-07-10,621.3075,620.72,624.01,616.165
2014-07-11,616.83124,621.3075,621.4675,609.4275
2014-07-12,634.35749,616.83124,636.61875,613.94875
2014-07-13,627.69,634.35749,635.04625,625.99249
2014-07-14,621.42499,627.69,634.12,621.28
2014-07-15,618.73875,621.42499,623.24749,615.9775
2014-07-16,619.8075,618.73875,622.46124,617.84124
2014-07-17,614.68875,619.8075,620.45,612.87625
2014-07-18,623.49749,614.68875,627.04625,611.75
2014-07-19,623.99625,623.49749,628.54499,616.475
2014-07-20,623.00625,623.99625,626.80875,621.365
2014-07-21,617.96124,623.00625,623.97375,617.38375
2014-07-22,622.10749,617.96124,622.20624,616.73375
2014-07-23,618.4475,622.10749,622.49125,617.945
2014-07-24,617.6875,618.4475,619.92375,616.93375
2014-07-25,602.93125,617.6875,618.26374,591.455
2014-07-26,597.585,602.93125,605.98125,593.5875
2014-07-27,592.96375,597.585,598.15625,590.17625
2014-07-28,580.11,592.96375,595.87875,579.15125
2014-07-29,585.44875,580.11,622.93125,511.66375
2014-07-30,580.5175,585.44875,586.625,577.58124
2014-07-31,564.57,580.5175,581.28125,559.62249
2014-08-01,583.39,564.57,587.96,564.57
2014-08-02,593.80625,583.39,601.835,582.61
2014-08-03,581.52,593.80625,594.16875,580.22625
2014-08-04,585.80125,581.52,588.20375,578.20875
2014-08-05,582.33375,585.80125,592.83624,581.84375
2014-08-06,582.52125,582.33375,586.70875,579.83624
2014-08-07,583.62375,582.52125,586.8775,578.80125
2014-08-08,595.80875,583.62375,598.76874,581.7175
2014-08-09,585.39625,595.80875,596.385,585.23125
2014-08-10,586.05875,585.39625,588.99749,584.89
2014-08-11,588.7525,586.05875,593.6975,585.695
2014-08-12,566.31625,588.7525,588.7525,564.91999
2014-08-13,565.55125,566.31625,573.31375,562.8375
2014-08-14,534.54,565.55125,565.73,524.33
2014-08-15,511.4725,534.54,534.57875,495.26
2014-08-16,487.56625,511.4725,515.36,483.475
2014-08-17,516.62625,487.56625,522.19,484.215
2014-08-18,489.4675,516.62625,516.95375,482.85875
2014-08-19,455.91625,489.4675,491.965,435.59875
2014-08-20,472.91,455.91625,488.52625,455.83375
2014-08-21,519.015,472.91,532.7675,464.39625
2014-08-22,508.12875,519.015,526.78625,506.63625
2014-08-23,507.51,508.12875,522.19375,500.03625
2014-08-24,501.63125,507.51,509.285,490.61
2014-08-25,503.32125,501.63125,513.375,496.2525
2014-08-26,504.62625,503.32125,506.19875,497.67625
2014-08-27,513.39125,504.62625,514.85375,503.22625
2014-08-28,514.62375,513.39125,521.34875,509.58875
2014-08-29,506.025,514.62375,515.78375,505.46125
2014-08-30,504.70625,506.025,512.28,502.4225
2014-08-31,502.055,504.70625,505.585,499.49875
2014-09-01,474.5425,502.055,502.54375,474.09125
2014-09-02,477.98375,474.5425,485.94,471.12375
2014-09-03,476.88375,477.98375,483.305,470.88375
2014-09-04,475.65,476.88375,479.59875,473.87875
2014-09-05,485.65125,475.65,494.03625,475.10375
2014-09-06,480.9075,485.65125,489.5875,478.82625
2014-09-07,481.88375,480.9075,484.8225,479.78
2014-09-08,473.58625,481.88375,485.37,471.99875
2014-09-09,468.5775,473.58625,478.3925,464.52
2014-09-10,474.29125,468.5775,478.03375,464.65625
2014-09-11,479.4175,474.29125,487.20625,474.29125
2014-09-12,473.6725,479.4175,480.3975,471.16625
2014-09-13,471.5325,473.6725,476.02125,467.1125
2014-09-14,475.37875,471.5325,479.2275,470.97125
2014-09-15,475.02125,475.37875,477.78375,473.335
2014-09-16,471.08375,475.02125,476.43625,468.3875
2014-09-17,457.334015,465.864014,468.174011,452.421997
2014-09-18,424.440002,456.859985,456.859985,413.104004
2014-09-19,394.79599,424.102997,427.834991,384.532013
2014-09-20,408.903992,394.673004,423.29599,389.882996
2014-09-21,398.821014,408.084991,412.425995,393.181
2014-09-22,402.152008,399.100006,406.915985,397.130005
2014-09-23,435.790985,402.09201,441.557007,396.196991
2014-09-24,423.204987,435.751007,436.112,421.131989
2014-09-25,411.574005,423.156006,423.519989,409.467987
2014-09-26,404.424988,411.428986,414.937988,400.009003
2014-09-27,399.519989,403.556,406.622986,397.372009
2014-09-28,377.181,399.471008,401.016998,374.332001
2014-09-29,375.46701,376.928009,385.210999,372.23999
2014-09-30,386.944,376.088013,390.97699,373.442993
2014-10-01,383.61499,387.427002,391.378998,380.779999
2014-10-02,375.071991,383.988007,385.497009,372.946014
2014-10-03,359.511993,375.181,377.695007,357.859009
2014-10-04,328.865997,359.891998,364.487,325.885986
2014-10-05,320.51001,328.915985,341.800995,289.29599
2014-10-06,330.07901,320.389008,345.134003,302.559998
2014-10-07,336.187012,330.584015,339.247009,320.481995
2014-10-08,352.940002,336.115997,354.364014,327.187988
2014-10-09,365.026001,352.747986,382.726013,347.687012
2014-10-10,361.562012,364.687012,375.066986,352.963013
2014-10-11,362.299011,361.362,367.19101,355.950989
2014-10-12,378.549011,362.605988,379.433014,356.144012
2014-10-13,390.414001,377.92099,397.226013,368.897003
2014-10-14,400.869995,391.691986,411.697998,391.324005
2014-10-15,394.77301,400.954987,402.22699,388.765991
2014-10-16,382.556,394.518005,398.807007,373.070007
2014-10-17,383.757996,382.756012,385.477997,375.389008
2014-10-18,391.441986,383.976013,395.15799,378.971008
2014-10-19,389.54599,391.253998,393.938995,386.457001
2014-10-20,382.845001,389.230988,390.084015,378.252014
2014-10-21,386.475006,382.42099,392.645996,380.834015
2014-10-22,383.15799,386.118011,388.575989,382.248993
2014-10-23,358.416992,382.962006,385.048004,356.446991
2014-10-24,358.345001,358.591003,364.345001,353.304993
2014-10-25,347.270996,358.610992,359.860992,342.877014
2014-10-26,354.70401,347.487,359.221008,343.931
2014-10-27,352.989014,354.777008,358.631989,349.80899
2014-10-28,357.618011,353.214996,359.984009,352.678986
2014-10-29,335.591003,357.088989,357.833008,335.342987
2014-10-30,345.304993,335.709015,350.912994,335.071991
2014-10-31,338.321014,345.009003,348.045013,337.141998
2014-11-01,325.748993,338.649994,340.528992,321.054993
2014-11-02,325.891998,326.075012,329.049988,320.626007
2014-11-03,327.553986,325.569,334.002014,325.480988
2014-11-04,330.492004,327.161011,331.766998,325.076996
2014-11-05,339.485992,330.683014,343.368988,330.683014
2014-11-06,349.290009,339.458008,352.966003,338.424011
2014-11-07,342.415009,349.817993,352.731995,341.776001
2014-11-08,345.488007,342.153992,347.032013,342.153992
2014-11-09,363.264008,345.376007,363.626007,344.255005
2014-11-10,366.924011,362.265015,374.81601,357.561005
2014-11-11,367.695007,365.856995,371.309998,363.734985
2014-11-12,423.561005,367.984985,429.717987,367.984985
2014-11-13,420.734985,427.27301,457.092987,401.122986
2014-11-14,397.817993,418.416992,419.252014,384.789001
2014-11-15,376.132996,399.649994,405.528015,371.007996
2014-11-16,387.881989,374.730011,390.799011,374.60199
2014-11-17,387.40799,388.348999,410.199005,377.502014
2014-11-18,375.197998,387.785004,392.402008,371.117004
2014-11-19,380.554993,373.895996,386.480988,373.895996
2014-11-20,357.839996,380.307007,382.024994,356.781006
2014-11-21,350.847992,357.878998,357.878998,344.112
2014-11-22,352.920013,351.604004,364.841003,350.877991
2014-11-23,367.572998,353.174988,370.845001,353.174988
2014-11-24,376.901001,366.947998,387.209015,366.669006
2014-11-25,375.347992,376.885986,394.700989,374.783997
2014-11-26,368.369995,376.019012,377.697998,365.81601
2014-11-27,369.670013,370.502014,373.992004,368.282013
2014-11-28,376.446991,369.373993,382.838013,358.454987
2014-11-29,375.490997,376.152008,387.601013,372.144989
2014-11-30,378.046997,375.51001,382.527008,373.30899
2014-12-01,379.244995,378.248993,383.661987,376.669006
2014-12-02,381.315002,379.25,384.037994,377.863007
2014-12-03,375.01001,381.721985,383.026001,374.346008
2014-12-04,369.604004,375.717987,378.654999,367.759003
2014-12-05,376.854004,369.441986,379.191986,365.756012
2014-12-06,374.785004,376.756989,378.447998,370.945007
2014-12-07,375.095001,374.835999,376.291992,373.274994
2014-12-08,361.908997,374.964996,376.028992,361.885986
2014-12-09,352.218994,361.894989,363.066986,344.950989
2014-12-10,346.36499,352.204987,352.384003,346.36499
2014-12-11,350.506012,344.339996,361.356995,338.763
2014-12-12,352.541992,350.833008,352.983002,349.290985
2014-12-13,347.376007,352.381012,352.381012,346.588013
2014-12-14,351.631989,346.72699,353.31601,345.417999
2014-12-15,345.345001,351.360992,351.815002,344.93399
2014-12-16,327.062012,345.673004,345.859009,327.062012
2014-12-17,319.776001,326.855011,333.95401,315.152008
2014-12-18,311.395996,319.785004,323.709015,304.231995
2014-12-19,317.842987,311.178986,318.53299,306.769012
2014-12-20,329.955994,317.618988,330.325012,316.044006
2014-12-21,320.842987,329.542999,329.628998,318.903015
2014-12-22,331.885986,321.067993,334.117004,320.424988
2014-12-23,334.571991,332.016998,336.286987,329.60199
2014-12-24,322.533997,334.38501,334.740997,321.356995
2014-12-25,319.007996,322.286011,322.670013,316.958008
2014-12-26,327.924011,319.152008,331.424011,316.627014
2014-12-27,315.863007,327.583008,328.911011,312.630005
2014-12-28,317.239014,316.160004,320.028015,311.078003
2014-12-29,312.670013,317.700989,320.266998,312.307007
2014-12-30,310.737,312.718994,314.80899,309.372986
2014-12-31,320.192993,310.914001,320.192993,310.210999
2015-01-01,314.248993,320.434998,320.434998,314.002991
2015-01-02,315.032013,314.07901,315.838989,313.565002
2015-01-03,281.082001,314.846008,315.149994,281.082001
2015-01-04,264.195007,281.145996,287.230011,257.612
2015-01-05,274.473999,265.084015,278.341003,265.084015
2015-01-06,286.188995,274.610992,287.553009,272.696014
2015-01-07,294.337006,286.076996,298.753998,283.07901
2015-01-08,283.348999,294.13501,294.13501,282.174988
2015-01-09,290.40799,282.382996,291.114014,280.53299
2015-01-10,274.79599,287.303009,288.127014,273.966003
2015-01-11,265.660004,274.608002,279.638,265.039001
2015-01-12,267.79599,266.145996,272.203003,265.200012
2015-01-13,225.860992,267.394012,268.277008,219.906006
2015-01-14,178.102997,223.893997,223.893997,171.509995
2015-01-15,209.843994,176.897003,229.067001,176.897003
2015-01-16,208.097,209.070007,221.591003,199.770996
2015-01-17,199.259995,207.834,211.731003,194.875
2015-01-18,210.339005,200.050003,218.695007,194.505997
2015-01-19,214.860992,211.470993,216.727997,207.317993
2015-01-20,211.315002,212.906998,215.240997,205.153
2015-01-21,226.897003,211.378006,227.787994,211.212006
2015-01-22,233.406006,227.322006,237.018997,226.434006
2015-01-23,232.878998,233.516998,234.845001,225.195999
2015-01-24,247.847,232.699997,248.210007,230.022003
2015-01-25,253.718002,247.352005,255.074005,243.889999
2015-01-26,273.472992,254.078995,309.384003,254.078995
2015-01-27,263.475006,273.166992,275.480011,250.653
2015-01-28,233.914993,263.351013,266.535004,227.046005
2015-01-29,233.513,233.348007,238.705994,220.712006
2015-01-30,226.425003,232.772003,242.850998,225.839005
2015-01-31,217.464005,226.440994,233.503998,216.309006
2015-02-01,226.972,216.867004,231.574005,212.014999
2015-02-02,238.229004,226.490997,242.175003,222.658997
2015-02-03,227.268005,237.453995,245.957001,224.483002
2015-02-04,226.852997,227.511002,230.057999,221.113007
2015-02-05,217.110992,227.664993,239.404999,214.725006
2015-02-06,222.266006,216.923004,230.509995,216.231995
2015-02-07,227.753998,222.632996,230.298996,222.606995
